EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG10971	ECK2700	srlD	gutD	sorbitol-6-phosphate dehydrogenase	; 1789057	P05707	b2705
EG10972	ECK2701	srlM	gutM	sorbitol=responsive srl operon transcriptional activator	; 1789058	P15081	b2706
EG10973	ECK2703	srlQ	gutQ	D-arabinose 5-phosphate isomerase	; 87082151	P17115	b2708
EG10974	ECK2702	srlR	gutR	sorbitol-inducible srl operon transcriptional repressor	; 1789059	P15082	b2707
EG10975	ECK2574	srmB	rbaB, rhlA	ATP-dependent RNA helicase	; 1788930	P21507	b2576
EG10976	ECK4051	ssb	exrB, lexC	single-stranded DNA-binding protein	; 1790494	P0AGE0	b4059
EG10977	ECK3218	sspA	pog, ssp	stringent starvation protein A, phage P1 late gene activator, RNAP-associated acid-resistance protein, inactive glutathione S-transferase homolog	; 1789624	P0ACA3	b3229
EG10978	ECK3217	sspB	None	ClpXP protease specificity enhancing factor	; 1789623	P0AFZ3	b3228
EG10979	ECK0714	sucA	lys	2-oxoglutarate decarboxylase, thiamine triphosphate-binding	; 1786945	P0AFG3	b0726
EG10980	ECK0715	sucB	None	dihydrolipoyltranssuccinase	; 1786946	P0AFG6	b0727
EG10981	ECK0716	sucC	None	succinyl-CoA synthetase, beta subunit	; 1786948	P0A836	b0728
EG10982	ECK0717	sucD	None	succinyl-CoA synthetase, NAD(P)-binding, alpha subunit	; 1786949	P0AGE9	b0729
EG10983	ECK2530	suhB	ssyA	inositol monophosphatase	; 1788882	P0ADG4	b2533
EG10984	ECK0949	sulA	sfiA	SOS cell division inhibitor	; 1787192	P0AFZ5	b0958
EG10985	ECK0054	surA	None	peptidyl-prolyl cis-trans isomerase (PPIase)	; 1786238	P0ABZ6	b0053
EG10986	ECK3536	tag	tagA	3-methyl-adenine DNA glycosylase I, constitutive	; 1789971	P05100	b3549
EG10987	ECK1886	tap	None	methyl-accepting protein IV	; 1788194	P07018	b1885
EG10988	ECK1887	tar	cheM	methyl-accepting chemotaxis protein II	; 1788195	P07017	b1886
EG10989	ECK3107	tdcA	None	tdc operon transcriptional activator	; 1789506	P0ACQ7	b3118
EG10990	ECK3106	tdcB	None	L-threonine dehydratase, catabolic	; 1789505	P0AGF6	b3117
EG10991	ECK3105	tdcC	None	L-threonine/L-serine transporter	; 1789504	P0AAD8	b3116
EG10992	ECK3108	tdcR	None	L-threonine dehydratase operon activator protein	; 87082214	P11866	b3119
EG10993	ECK3606	tdh	None	L-threonine 3-dehydrogenase, NAD(P)-binding	; 1790045	P07913	b3616
EG10994	ECK1233	tdk	None	thymidine kinase/deoxyuridine kinase	; 1787490	P23331	b1238
EG10995	ECK0446	tesB	None	acyl-CoA thioesterase 2	; 1786657	P0AGG2	b0452
EG10996	ECK0400	tgt	vacC(S.f.)	tRNA-guanine transglycosylase	; 1786607	P0A847	b0406
EG10997	ECK3699	mnmE	thdF, trmE	tRNA U34 5-methylaminomethyl-2-thiouridine modification GTPase	; 2367268	P25522	b3706
EG10998	ECK0002	thrA	Hs, thrA1, thrA2, thrD	Bifunctional aspartokinase/homoserine dehydrogenase 1	; 1786183	P00561	b0002
EG10999	ECK0003	thrB	None	homoserine kinase	; 1786184	P00547	b0003
EG11000	ECK0004	thrC	None	L-threonine synthase	; 1786185	P00934	b0004
EG11001	ECK1717	thrS	None	threonyl-tRNA synthetase	; 1788013	P0A8M3	b1719
EG11002	ECK2823	thyA	None	thymidylate synthetase	; 1789191	P0A884	b2827
EG11003	ECK0430	tig	None	peptidyl-prolyl cis/trans isomerase (trigger factor)	; 1786640	P0A850	b0436
EG11004	ECK1846	ptrB	opdB, tlp(S.t.)	protease II	; 1788150	P24555	b1845
EG11005	ECK3701	tnaA	ind	tryptophanase/L-cysteine desulfhydrase, PLP-dependent	; 87082323	P0A853	b3708
EG11006	ECK3702	tnaB	tnaP, trpP	tryptophan transporter of low affinity	; 1790145	P23173	b3709
EG11007	ECK0728	tolA	cim, excC, lky	membrane anchored protein in TolA-TolQ-TolR complex	; 1786960	P19934	b0739
EG11008	ECK0729	tolB	None	periplasmic protein	; 1786961	P0A855	b0740
EG11009	ECK3026	tolC	colE1-i, mtcB, mukA, refI, toc, weeA	transport channel	; 87082199	P02930	b3035
EG11010	ECK0726	tolQ	fii, tolP	membrane spanning protein in TolA-TolQ-TolR complex	; 1786958	P0ABU9	b0737
EG11011	ECK0727	tolR	None	membrane spanning protein in TolA-TolQ-TolR complex	; 1786959	P0ABV6	b0738
EG11012	ECK1246	tonB	exbA, T1rec	membrane spanning protein in TonB-ExbB-ExbD transport complex	; 1787505	P02929	b1252
EG11013	ECK1268	topA	asuA?, supX	DNA topoisomerase I, omega subunit	; 1787529	P06612	b1274
EG11014	ECK1761	topB	mutR	DNA topoisomerase III	; 1788061	P14294	b1763
EG11015	ECK3911	tpiA	tpi	triosephosphate isomerase	; 1790353	P0A858	b3919
EG11016	ECK1224	tpr	None	protamine-like protein	; 1787482	P02338	b1229
EG11017	ECK1185	treA	osmA	periplasmic trehalase	; 1787447	P13482	b1197
EG11018	ECK1415	trg	None	methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor	; 1787690	P05704	b1421
EG11019	ECK3276	trkA	sapG(S.t.)	NAD-binding component of TrK potassium transporter	; 1789685	P0AGI8	b3290
EG11020	ECK1362	trkG	None	Rac prophage; potassium transporter subunit	; 1787626	P23849	b1363
EG11021	ECK3841	trkH	sapJ(S.t.)	potassium transporter	; 48994987	P0AFZ7	b3849
EG11022	ECK3957	trmA	rumT	tRNA m(5)U54 methyltransferase, SAM-dependent; tmRNA m(5)U341 methyltransferase	; 1790403	P23003	b3965
EG11023	ECK2604	trmD	None	tRNA m(1)G37 methyltransferase, SAM-dependent	; 1788959	P0A873	b2607
EG11024	ECK1254	trpA	try, tryp	tryptophan synthase, alpha subunit	; 1787514	P0A877	b1260
EG11025	ECK1255	trpB	None	tryptophan synthase, beta subunit	; 1787515	P0A879	b1261
EG11026	ECK1256	trpC	trpF	indole-3-glycerolphosphate synthetase and N-(5-phosphoribosyl)anthranilate isomerase	; 87081863	P00909	b1262
EG11027	ECK1257	trpD	trpGD	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase	; 1787517	P00904	b1263
EG11028	ECK1258	trpE	anth, tryD, tryp-4	component I of anthranilate synthase	; 1787518	P00895	b1264
EG11029	ECK4385	trpR	None	transcriptional repressor, tryptophan-binding	; 1790854	P0A881	b4393
EG11030	ECK3371	trpS	None	tryptophanyl-tRNA synthetase	; 1789786	P00954	b3384
EG11031	ECK3773	trxA	dasC, fip, fipA, tsnC	thioredoxin 1	; 87082331	P0AA25	b3781
EG11032	ECK0879	trxB	None	thioredoxin reductase, FAD/NAD(P)-binding	; 1787114	P0A9P4	b0888
EG11033	ECK0169	tsf	None	translation elongation factor EF-Ts	; 1786366	P0A6P1	b0170
EG11034	ECK4345	tsr	cheD	methyl-accepting chemotaxis protein I, serine sensor receptor	; 2367378	P02942	b4355
EG11035	ECK0405	tsx	nupA, T6rec	nucleoside channel, receptor of phage T6 and colicin K	; 1786612	P0A927	b0411
EG11036	ECK3326	tufA	kirT, pulT	translation elongation factor EF-Tu 1	; 1789737	P0CE47	b3339
EG11037	ECK3971	tufB	kirT, pulT	translation elongation factor EF-Tu 2	; 1790412	P0CE48	b3980
EG11038	ECK1605	tus	tau	inhibitor of replication at Ter, DNA-binding protein	; 1787895	P16525	b1610
EG11039	ECK2597	tyrA	None	fused chorismate mutase T/prephenate dehydrogenase	; 1788952	P07023	b2600
EG11040	ECK4046	tyrB	None	tyrosine aminotransferase, tyrosine-repressible, PLP-dependent	; 1790488	P04693	b4054
EG11041	ECK1906	tyrP	None	tyrosine transporter	; 1788218	P0AAD4	b1907
EG11042	ECK1319	tyrR	None	aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase	; 1787583	P07604	b1323
EG11043	ECK1633	tyrS	None	tyrosyl-tRNA synthetase	; 1787925	P0AGJ9	b1637
EG11044	ECK2305	ubiX	dedF	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	; 1788650	P0AG03	b2311
EG11045	ECK3825	udp	None	uridine phosphorylase	; 1790265	P12758	b3831
EG11046	ECK3436	ugpA	psiB, psiC	sn-glycerol-3-phosphate ABC transporter permease	; 1789861	P10905	b3452
EG11047	ECK3437	ugpB	psiB, psiC	sn-glycerol-3-phosphate ABC transporter periplasmic binding protein	; 1789862	P0AG80	b3453
EG11048	ECK3434	ugpC	None	sn-glycerol-3-phosphate ABC transporter ATPase	; 87082267	P10907	b3450
EG11049	ECK3435	ugpE	None	sn-glycerol-3-phosphate  ABC transporter permease	; 1789860	P10906	b3451
EG11050	ECK3433	ugpQ	None	glycerophosphodiester phosphodiesterase, cytosolic	; 1789858	P10908	b3449
EG11051	ECK3660	uhpA	None	response regulator in two-component regulatory system wtih UhpB	; 1790102	P0AGA6	b3669
EG11052	ECK3659	uhpB	None	sensory histidine kinase in two-component regulatory sytem with UhpA	; 87082311	P09835	b3668
EG11053	ECK3658	uhpC	None	membrane protein regulates uhpT expression	; 87082310	P09836	b3667
EG11054	ECK3657	uhpT	None	hexose phosphate transporter	; 2367259	P0AGC0	b3666
EG11055	ECK1612	uidA	gurA, gusA	beta-D-glucuronidase	; 1787903	P05804	b1617
EG11056	ECK1172	umuC	uvm	translesion error-prone DNA polymerase V subunit; DNA polymerase activity	; 1787432	P04152	b1184
EG11057	ECK1171	umuD	None	translesion error-prone DNA polymerase V subunit; RecA-activated auto-protease	; 1787431	P0AG11	b1183
EG11058	ECK2578	ung	None	uracil-DNA-glycosylase	; 1788934	P12295	b2580
EG11059	ECK2313	usg	None	putative semialdehyde dehydrogenase	; 1788658	P08390	b2319
EG11060	ECK0474	ushA	None	bifunctional UDP-sugar hydrolase/5'-nucleotidase	; 1786687	P07024	b0480
EG11061	ECK4050	uvrA	dar	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC	; 2367343	P0A698	b4058
EG11062	ECK0768	uvrB	dar-1, dar-6	exision nuclease of nucleotide excision repair, DNA damage recognition component	; 1786996	P0A8F8	b0779
EG11063	ECK1912	uvrC	None	excinuclease UvrABC, endonuclease subunit	; 87081999	P0A8G0	b1913
EG11064	ECK3808	uvrD	dar-2, dda, mutU, pdeB, rad, recL, srjC, uvr502, uvrE	DNA-dependent ATPase I and helicase II	; 2367296	P03018	b3813
EG11065	ECK1514	uxaB	None	altronate oxidoreductase, NAD-dependent	; 48994885	P0A6L7	b1521
EG11066	ECK4313	uxuA	None	mannonate hydrolase	; 1790778	P24215	b4322
EG11067	ECK4251	valS	val-act	valyl-tRNA synthetase	; 1790708	P07118	b4258
EG11068	ECK1958	vsr	None	DNA mismatch endonuclease of very short patch repair	; 1788270	P09184	b1960
EG11069	ECK3806	xerC	None	site-specific tyrosine recombinase	; 1790244	P0A8P6	b3811
EG11070	ECK2888	dsbC	xprA	protein disulfide isomerase II	; 1789260	P0AEG6	b2893
EG11071	ECK2889	xerD	xprB	site-specific tyrosine recombinase	; 1789261	P0A8P8	b2894
EG11072	ECK2505	xseA	xse	exonuclease VII, large subunit	; 1788856	P04994	b2509
EG11073	ECK1747	xthA	xth	exonuclease III	; 1788046	P09030	b1749
EG11074	ECK3554	xylA	None	D-xylose isomerase	; 1789988	P00944	b3565
EG11075	ECK3553	xylB	None	xylulokinase	; 1789987	P09099	b3564
EG11076	ECK4023	xylE	None	D-xylose transporter	; 1790463	P0AGF4	b4031
EG11078	ECK0021	nhaR	antO, yaaB	transcriptional activator of nhaA	; 1786202	P0A9G2	b0020
EG11079	ECK0026	ribF	yaaC	bifunctional riboflavin kinase/FAD synthetase	; 1786208	P0AG40	b0025
EG11080	ECK0029	fkpB	slpA, yaaD	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	; 1786211	P0AEM0	b0028
EG11081	ECK0030	ispH	lytB, yaaE	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	; 1786212	P62623	b0029
EG11082	ECK0031	rihC	yaaF	ribonucleoside hydrolase 3	; 1786213	P22564	b0030
EG11083	ECK0060	rapA	hepA, yabA	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase	; 1786245	P60240	b0059
EG11084	ECK0082	mraZ	yabB	RsmH methytransferase inhibitor	; 1786269	P22186	b0081
EG11085	ECK0083	rsmH	mraW, yabC	16S rRNA m(4)C1402 methyltransferase, SAM-dependent	; 1786270	P60390	b0082
EG11086	ECK0084	ftsL	mraR, yabD	membrane bound cell division leucine zipper septum protein	; 1786271	P0AEN4	b0083
EG11087	ECK0098	secM	srrA, yacA	regulator of secA translation	; 87081686	P62395	b0097
EG11088	ECK0112	pdhR	aceC, genA, yacB	pyruvate dehydrogenase complex repressor; autorepressor	; 1786303	P0ACL9	b0113
EG11089	ECK0121	yacC	gspS	PulS_OutS family protein	; 87081688	P0AA95	b0122
EG11090	ECK0158	mtn	mtnN, pfs, yadA	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	; 1786354	P0AF12	b0159
EG11091	ECK0240	frsA	yafA	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity	1786434	P04335	b0239
EG11092	ECK0241	crl'	None	pseudogene, sigma factor-binding protein, RNA polymerase holoenzyme formation stimulator	; 1786435	P24251	b0240
EG11093	ECK0384	yaiA	None	OxyR-regulated conserved protein	1786588	P0AAN5	b0389
EG11094	ECK0392	sbcD	yajA	exonuclease, dsDNA, ATP-dependent	; 1786598	P0AG76	b0398
EG11095	ECK0398	acpH	acpD, yajB	acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase	1786605	P21515	b0404
EG11096	ECK0401	yajC	None	SecYEG protein translocase auxillary subunit	1786608	P0ADZ7	b0407
EG11097	ECK0404	yajD	None	HNH nuclease family protein	1786611	P0AAQ2	b0410
EG11098	ECK0416	xseB	yajE	exonuclease VII small subunit	; 1786624	P0A8G9	b0422
EG11099	ECK0450	ybaA	None	DUF1428 family protein	1786661	P0AAQ6	b0456
EG11100	ECK0465	ybaB	efbC(B.b)	DNA-binding protein, putative nucleoid-associated protein	1786677	P0A8B5	b0471
EG11101	ECK0470	aes	ybaC	acetyl esterase	; 1786682	P23872	b0476
EG11102	ECK0471	gsk	None	inosine/guanosine kinase	; 1786684	P0AEW6	b0477
EG11103	ECK0528	sfmZ	fimZ(S.t.), ybcA	response regulator family protein	; 1786747	P0AEL8	b0535
EG11104	ECK0584	entS	ybdA	enterobactin exporter, iron-regulated	; 1786806	P24077	b0591
EG11105	ECK0590	entH	ybdB	enterobactin synthesis proofreading thioesterase	; 1786813	P0A8Y8	b0597
EG11107	ECK0592	ybdD	None	DUF466 family protein	87081761	P0AAS9	b4512
EG11108	ECK0696	ybgA	tkp	DUF1722 family protein	1786925	P24252	b0707
EG11109	ECK0718	mngR	farR, ybgB	transcriptional repressor for the mannosyl-D-glycerate catabolic operon	; 1786950	P13669	b0730
EG11110	ECK0725	ybgC	None	acyl-CoA thioester hydrolase	; 1786957	P0A8Z3	b0736
EG11111	ECK0871	cspD	cspH, ybjA	inhibitor of DNA replication, cold shock protein homolog	; 1787107	P0A968	b0880
EG11112	ECK0876	aat	ycaA	leucyl/phenylalanyl-tRNA-protein transferase	; 1787111	P0A8P1	b0885
EG11113	ECK0961	yccA	None	Modulator of FtsH protease, inner membrane protein	; 1787205	P0AAC6	b0970
EG11114	ECK4402	cbdX	appX, yccB	putative cytochrome bd-II oxidase subunit	145693112	P24244	b4592
EG11116	ECK1040	yceA	None	putative rhodanese-related sulfurtransferase	1787294	P24188	b1055
EG11117	ECK1048	yceB	None	lipoprotein, DUF1439 family	1787302	P0AB26	b1063
EG11118	ECK1071	rluC	yceC	23S rRNA pseudouridine(955,2504,2580) synthase	; 1787327	P0AA39	b1086
EG11119	ECK1074	yceD	None	DUF177 family protein	1787329	P0AB28	b1088
EG11120	ECK1142	tfaE	ycfA	e14 prophage; putative tail fiber assembly protein	1787402	P09153	b1156
EG11121	ECK1247	yciA	None	acyl-CoA esterase	1787506	P0A8Z0	b1253
EG11122	ECK1248	yciB	ispA(S.f.), ispZ	IspA family inner membrane protein	1787507	P0A710	b1254
EG11123	ECK1249	yciC	None	UPF0259 family inner membrane protein	1787508	P21365	b1255
EG11124	ECK1250	ompW	yciD	outer membrane protein W	1787510	P0A915	b1256
EG11125	ECK1251	yciE	None	putative rubrerythrin/ferritin-like metal-binding protein	1787511	P21363	b1257
EG11126	ECK1252	yciF	None	putative rubrerythrin/ferritin-like metal-binding protein	1787512	P21362	b1258
EG11127	ECK1253	yciG	None	KGG family protein	87081862	P21361	b1259
EG11128	ECK1277	yciH	None	initiation factor function partial mimic, SUI1 family	; 87081867	P08245	b1282
EG11129	ECK1555	rem	None	Qin prophage; uncharacterized protein	1787844	P07010	b1561
EG11130	ECK1556	hokD	relF	Qin prophage; small toxic polypeptide	; 1787845	P0ACG6	b1562
EG11131	ECK1557	relE	None	Qin prophage; toxin of the RelE-RelB toxin-antitoxin system	; 1787846	P0C077	b1563
EG11132	ECK1701	ppsR	duf299, ydiA	PEP synthase kinase and PEP synthase pyrophosphorylase	1787995	P0A8A4	b1703
EG11133	ECK1706	nlpC	None	putative C40 clan peptidase lipoprotein	; 1788001	P23898	b1708
EG11134	ECK1763	ydjA	None	putative oxidoreductase	; 1788063	P0ACY1	b1765
EG11135	ECK1766	pncA	nam, ydjB	nicotinamidase/pyrazinamidase	; 87081970	P21369	b1768
EG11136	ECK1863	yebB	None	DUF830 family protein	; 87081991	P24238	b1862
EG11137	ECK1865	yebC	None	UPF0082 family protein	1788171	P0A8A0	b1864
EG11138	ECK1866	nudB	ntpA, orf17, yebD	dihydroneopterin triphosphate pyrophosphatase	; 1788172	P0AFC0	b1865
EG11139	ECK1907	yecA	None	UPF0149 family protein	1788219	P0AD05	b1908
EG11140	ECK1913	uvrY	gacA, sirA(S.t.), yecB	response regulator in two-component regulatory system with BarA	; 1788222	P0AED5	b1914
EG11141	ECK1957	yedA	None	amino acid exporter for phenylalanine, threonine	1788269	P0AA70	b1959
EG11142	ECK2222	yfaA	pufY	DUF2138 family protein, putative host defense protein	87082069	P17994	b2230
EG11143	ECK2224	ubiG	pufX, yfaB	bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase	; 1788564	P17993	b2232
EG11144	ECK2321	yfcA	None	TauE/TSUP family inner membrane protein	1788667	P0AD30	b2327
EG11145	ECK2389	yfeA	None	putative diguanylate cyclase	87082096	P23842	b2395
EG11146	ECK2399	xapR	pRndR, yfeB	transcriptional activator of xapAB	; 2367136	P23841	b2405
EG11147	ECK2466	yffB	None	putative ArsC family reductase	1788815	P24178	b2471
EG11149	ECK2475	gcvR	yffD	transcriptional repressor, regulatory protein accessory to GcvA	; 87082113	P0A9I3	b2479
EG11150	ECK2477	hyfA	yffE	hydrogenase 4, 4Fe-4S subunit	; 87082114	P23481	b2481
EG11151	ECK2594	raiA	yfiA	cold shock protein associated with 30S ribosomal subunit	; 1788949	P0AD49	b2597
EG11152	ECK2602	yfiB	None	OM lipoprotein putative positive effector of YfiN activity	1788957	P07021	b2605
EG11153	ECK2605	rimM	yfjA	ribosome maturation factor	; 87082136	P0A7X6	b2608
EG11154	ECK2819	ppdC	ygdA	putative prepilin peptidase-dependent protein	1789187	P08372	b2823
EG11155	ECK2820	ygdB	None	DUF2509 family protein	87082164	P08370	b2824
EG11156	ECK2821	ppdB	ygdC	putative prepilin peptidase-dependent protein	1789189	P08371	b2825
EG11157	ECK2838	ygeA	None	Asp/Glu_racemase family protein	1789205	P03813	b2840
EG11158	ECK2907	fau	ygfA	5-formyltetrahydrofolate cyclo-ligase family protein	1789278	P0AC28	b2912
EG11159	ECK2919	argO	yggA	arginine transporter	1789290	P11667	b2923
EG11160	ECK2920	mscS	yggB	mechanosensitive channel protein, small conductance	; 1789291	P0C0S1	b2924
EG11161	ECK2924	yggC	None	putative PanK family P-loop kinase	1789296	P11664	b2928
EG11162	ECK2925	yggD	None	MtlR family putative transcriptional repressor	1789297	P11663	b2929
EG11164	ECK3028	ygiB	None	DUF1190 family protein	87082200	P0ADT2	b3037
EG11165	ECK3029	ygiC	None	ATP-Grasp family ATPase	1789416	P0ADT5	b3038
EG11166	ECK3030	ygiD	None	4,5- DOPA-extradiol-dioxygenase	1789417	P24197	b3039
EG11167	ECK3031	zupT	ygiE	zinc transporter	; 1789419	P0A8H3	b3040
EG11168	ECK3051	ttdA	ygjA	L-tartrate dehydratase, alpha subunit	; 1789442	P05847	b3061
EG11169	ECK3052	ttdB	ygjB	L-tartrate dehydratase, beta subunit	; 1789443	P0AC35	b3062
EG11171	ECK3054	tsaD	gcp, ygjD	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; glycation binding protein	1789445	P05852	b3064
EG11172	ECK3104	tdcD	yhaA	propionate kinase/acetate kinase C, anaerobic	; 1789503	P11868	b3115
EG11173	ECK3109	yhaB	None	uncharacterized protein	87082215	P11865	b3120
EG11174	ECK3110	yhaC	None	pentapetide repeats-related protein	1789509	P11864	b3121
EG11175	ECK3112	garK	yhaD	glycerate kinase I	1789512	P23524	b3124
EG11176	ECK3113	garR	yhaE	tartronate semialdehyde reductase	87082216	P0ABQ2	b3125
EG11177	ECK3155	truB	yhbA	tRNA pseudouridine synthase B: tRNA pseudouridine(55) synthase and putative tmRNA pseudouridine(342) synthase	; 2367200	P60340	b3166
EG11178	ECK3156	rbfA	sdr-43, yhbB	30s ribosome binding factor	; 1789558	P0A7G2	b3167
EG11179	ECK3159	rimP	yhbC	ribosome maturation factor for 30S subunits	87082222	P0A8A8	b3170
EG11180	ECK3277	mscL	stkA, yhdC	mechanosensitive channel protein, high conductance	; 1789686	P0A742	b3291
EG11181	ECK3324	bfd	yheA	bacterioferritin-associated ferredoxin	; 1789735	P0AE56	b3337
EG11182	ECK3344	yhfA	None	OsmC family protein	1789755	P0ADX1	b3356
EG11183	ECK3375	damX	yhfB	cell division protein that binds to the septal ring	1789790	P11557	b3388
EG11184	ECK3432	yhhA	None	DUF2756 family protein	1789857	P0ADX7	b3448
EG11186	ECK3551	yiaA	None	YiaAB family inner membrane protein, tandem domains	87082292	P0ADJ8	b3562
EG11187	ECK3583	yibA	None	putative immunity protein for polymorphic toxin RhsA; HEAT-domain protein; lethality reduction protein	1790021	P0ADK6	b3594
EG11188	ECK3608	yibB	htrL	YibB family protein, function unknown	; 87082299	P25666	b3618
EG11189	ECK3611	waaC	rfaC, yibC	ADP-heptose:LPS heptosyl transferase I	; 1790051	P24173	b3621
EG11190	ECK3624	coaD	kdtB, yicA	pantetheine-phosphate adenylyltransferase	; 1790065	P0A6I6	b3634
EG11191	ECK3631	slmA	ttk, yicB	nucleoid occlusion factor, anti-FtsZ division inhibitor	; 87082302	P0C093	b3641
EG11192	ECK3634	yicC	orfX	UPF0701 family protein	1790075	P23839	b3644
EG11193	ECK3635	dinD	orfY, pcsA, yicD	DNA damage-inducible protein	; 87082303	P23840	b3645
